"Accession","Organism","Genome assembly","Donor sex","Donor age","File download url"
"GSM3106373","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106373/suppl/GSM3106373_ENCFF240MGR_peaks_GRCh38.bed.gz"
"GSM3106372","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106372/suppl/GSM3106372_ENCFF083BAU_peaks_GRCh38.bed.gz"
"GSM3106370","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106370/suppl/GSM3106370_ENCFF512QEA_peaks_GRCh38.bed.gz"
"GSM3106369","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106369/suppl/GSM3106369_ENCFF345LNM_peaks_GRCh38.bed.gz"
"GSM3106367","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106367/suppl/GSM3106367_ENCFF046RJH_peaks_GRCh38.bed.gz"
"GSM3106366","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106366/suppl/GSM3106366_ENCFF321GIF_peaks_GRCh38.bed.gz"
"GSM3106436","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106436/suppl/GSM3106436_ENCFF308CII_peaks_GRCh38.bed.gz"
"GSM3106432","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106432/suppl/GSM3106432_ENCFF340GJT_peaks_GRCh38.bed.gz"
"GSM3106430","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106430/suppl/GSM3106430_ENCFF751UPI_peaks_GRCh38.bed.gz"
"GSM3106428","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106428/suppl/GSM3106428_ENCFF521OUW_peaks_GRCh38.bed.gz"
"GSM3106424","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106424/suppl/GSM3106424_ENCFF118GMP_peaks_GRCh38.bed.gz"
"GSM3106420","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106420/suppl/GSM3106420_ENCFF717SPP_peaks_GRCh38.bed.gz"
"GSM3106418","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106418/suppl/GSM3106418_ENCFF759CFZ_peaks_GRCh38.bed.gz"
"GSM3106416","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106416/suppl/GSM3106416_ENCFF428UAZ_peaks_GRCh38.bed.gz"
"GSM3106411","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106411/suppl/GSM3106411_ENCFF588CEO_peaks_GRCh38.bed.gz"
"GSM3106409","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106409/suppl/GSM3106409_ENCFF955HKD_peaks_GRCh38.bed.gz"
"GSM3106406","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106406/suppl/GSM3106406_ENCFF297YDY_peaks_GRCh38.bed.gz"
"GSM3106404","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106404/suppl/GSM3106404_ENCFF039PDW_peaks_GRCh38.bed.gz"
"GSM3106401","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106401/suppl/GSM3106401_ENCFF371UDN_peaks_GRCh38.bed.gz"
